Module Name,Test Case Name
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ChangedPasswordMailTriggerToMemberWithStatusMemberOnboarded
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ContentAlignmentWhenCoachSendsMailToMember
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ContentAlignmentWhenCoachSendsMailToMyClass
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ContentAlignmentWhenPGAdminSendsMailToMember
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ContentAlignmentWhenPGAdminSendsMailToMyClass
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_AVailbilityOfHHMMTextInSecurityQuestionOnEnrollmentPageOfMember
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_AvailbilityOfPasswordPolicyLinkInLoginPopup
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_DisplayQuestionSectionInTheAccountSettings
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_MessageAppearsWhenMemberEntersWrongPassword
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_SecurityAnswerVerificationWithSpecialCharactersOnHFOpsPortal
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_VerifyMemberIsGettingTheResetSecurityQALinkInMailAnymembersStatus
/Real Appeal/Member/Profile,RA_Member_Profile_MemberIsAbleToViewTheNextUpcomingGroupSessionDetails
/Real Appeal/Member/Profile,RA_Member_Profile_MemberLikesPanelEditable
/Real Appeal/Member/Profile,RA_Member_Profile_MemberViewRegisterYourFitnessDeviceInMemberProfilePage
/Real Appeal/Member/Profile,RA_Member_Profile_VerifyingMemberBioAndCoachNickName
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_AccountSettings
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_MemberContentLibrary
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_MemberLoginAndDashboardMessageUponProgramCompletion
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_MemberPortalPrivacyPolicyAndTermsOfUse
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_Member ExerciseExerciseGetsAddedUnderTheFavoritesSection
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExercise3To7DaysStreakCalculation
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseAddCustomExercise
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseCustomExerciseInTheFavoritesSection
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseCustomExerciseIsAddedToTheListOfExerciseInADayUsingTheSameAsYesterdayFeature
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseModifyingTheActivityLevel
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseNavigatingToTheExerciseTab
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodCreatingARecipe
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodNavigatingToTheFoodTab
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodSearch
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodThreeDaysToSevenDaysStreakCalculation
/Real Appeal/Member/Tracker/Trackers_Measurements,RA_Member_Tracker_MemberMeasurementsNavigatingToTheMeasurementTab
